Class,Count,Accuracy,Precision,Recall,F1 Score,AUC
cassette_player,7,0.9228025477707006,0.5912162162162162,0.49019607843137253,0.5359877488514548,0.8821409729811207
chain_saw,7,0.904968152866242,0.6065573770491803,0.09585492227979274,0.16554809843400448,0.7297654411904654
church,7,0.9113375796178343,0.6685082872928176,0.29584352078239606,0.4101694915254237,0.8534923131698335
french_horn,7,0.9014012738853503,0.5202312138728323,0.22842639593908629,0.31746031746031744,0.8181580978914819
garbage_truck,7,0.9228025477707006,0.6733870967741935,0.42930591259640105,0.5243328100470958,0.8681276099524247
gas_pump,7,0.8863694267515924,0.4140127388535032,0.15513126491646778,0.22569444444444445,0.7583671768955231
golf_ball,7,0.9146496815286624,0.7,0.2807017543859649,0.4007155635062612,0.827162915797719
parachute,7,0.9421656050955414,0.8007380073800738,0.5564102564102564,0.6565809379727685,0.89997533819316
tench,8,0.9431847133757961,0.759493670886076,0.6201550387596899,0.6827880512091038,0.9161915738026272
english_springer,8,0.9182165605095541,0.6554621848739496,0.3949367088607595,0.4928909952606635,0.8715258005522285
cassette_player,8,0.9253503184713375,0.6095890410958904,0.49859943977591037,0.5485362095531587,0.8865687530617627
chain_saw,8,0.9006369426751593,0.47619047619047616,0.10362694300518134,0.1702127659574468,0.7401208151361512
church,8,0.9059872611464969,0.5684931506849316,0.4058679706601467,0.47360912981455067,0.8612031342573663
french_horn,8,0.8960509554140127,0.45454545454545453,0.17766497461928935,0.25547445255474455,0.8322299804343545
garbage_truck,8,0.9149044585987262,0.5835866261398176,0.493573264781491,0.5348189415041783,0.8509811676301923
gas_pump,8,0.889171974522293,0.46,0.21957040572792363,0.2972536348949919,0.7667244832248025
golf_ball,8,0.9082802547770701,0.5789473684210527,0.3583959899749373,0.44272445820433437,0.8287700248920655
parachute,8,0.9370700636942675,0.7894736842105263,0.5,0.6122448979591837,0.9116693867188919
tench,9,0.9388535031847134,0.7905138339920948,0.5167958656330749,0.625,0.9091378506959509
english_springer,9,0.9095541401273886,0.6030927835051546,0.29620253164556964,0.39728353140916806,0.8590963531394559
cassette_player,9,0.9273885350318471,0.6714285714285714,0.3949579831932773,0.4973544973544973,0.8733066096393716
chain_saw,9,0.9001273885350318,0.45,0.06994818652849741,0.1210762331838565,0.6983640471020912
church,9,0.910828025477707,0.6398104265402843,0.33007334963325186,0.43548387096774194,0.8535204764249216
french_horn,9,0.900891719745223,0.5118483412322274,0.27411167512690354,0.35702479338842974,0.8331263198903978
garbage_truck,9,0.9054777070063694,0.5263157894736842,0.46272493573264784,0.49247606019151846,0.8365413695634474
gas_pump,9,0.8886624203821656,0.44375,0.16945107398568018,0.2452504317789292,0.7385184892723964
golf_ball,9,0.9194904458598726,0.7455621301775148,0.3157894736842105,0.44366197183098594,0.8387858472045117
parachute,9,0.9253503184713375,0.6343490304709142,0.5871794871794872,0.6098535286284953,0.9077053639429876
tench,10,0.9414012738853503,0.8054474708171206,0.5348837209302325,0.6428571428571429,0.9147929529961161
english_springer,10,0.9151592356687898,0.6302521008403361,0.379746835443038,0.47393364928909953,0.8728497149209309
cassette_player,10,0.9289171974522293,0.6666666666666666,0.4369747899159664,0.5279187817258884,0.8803353179836957
chain_saw,10,0.9031847133757962,0.5375,0.11139896373056994,0.18454935622317598,0.7415922064574315
church,10,0.9156687898089172,0.6511627906976745,0.41075794621026895,0.5037481259370314,0.8665875313968139
french_horn,10,0.9031847133757962,0.5416666666666666,0.23096446700507614,0.3238434163701068,0.831070920792919
garbage_truck,10,0.9100636942675159,0.55,0.5089974293059126,0.5287049399198932,0.8608997138503415
